,x1,y1,x2,y2
127,69,164,91,192
128,96,164,121,192
129,124,161,147,190
130,154,161,178,190
131,183,162,205,191
132,215,159,239,186
133,242,156,265,185
134,274,156,296,188
135,301,156,330,188
136,335,154,361,185
137,367,153,392,186
138,396,154,421,185
139,429,154,455,189
140,482,158,507,185
141,513,154,539,184
142,543,155,570,186
143,575,151,600,184
144,607,151,637,184
145,642,149,669,186
146,678,150,702,188
147,708,150,732,182
148,739,149,765,181
149,771,144,803,183
150,811,145,837,180
151,844,145,877,179
152,874,142,904,178
153,910,143,942,177
154,948,143,974,178
155,983,144,1011,179
156,1012,145,1050,179
157,14,195,39,232
158,43,198,63,231
159,70,196,97,228
160,103,197,130,228
161,132,195,153,227
162,159,198,182,229
163,191,195,213,228
164,218,194,245,228
165,251,190,274,229
166,280,195,306,234
167,313,195,341,230
168,346,193,374,229
169,380,194,408,231
170,414,192,445,228
171,468,194,493,226
172,496,188,529,224
173,533,191,561,227
174,565,185,596,225
175,602,184,631,226
176,635,187,664,224
177,670,186,697,225
178,703,185,729,224
179,738,184,766,220
180,773,185,802,222
181,807,179,836,222
182,846,181,876,224
183,885,183,915,221
184,919,183,950,224
185,957,183,985,220
186,993,184,1023,219
187,1029,185,1066,219
188,4,274,27,309
189,31,275,58,307
190,64,271,92,305
191,90,271,123,305
192,129,269,156,302
193,165,271,188,303
194,194,270,221,306
195,230,271,260,302
196,264,270,297,306
197,305,268,334,306
198,341,268,369,307
199,375,269,412,308
200,433,273,464,308
201,470,268,496,306
202,504,267,534,307
203,540,267,569,308
204,579,267,606,305
205,616,267,650,307
206,655,264,683,305
207,689,265,721,304
208,728,265,760,302
209,771,266,804,307
210,807,265,844,305
211,845,267,885,307
212,888,264,923,303
213,929,263,965,305
214,970,260,1008,306
215,1016,264,1051,304
216,1058,261,1093,310
217,5,315,25,352
218,29,315,56,354
219,66,318,96,357
220,101,316,129,356
221,137,316,166,356
222,171,312,201,355
223,206,313,235,356
224,240,313,269,359
225,278,317,307,357
226,311,311,343,359
227,349,315,387,362
228,415,312,447,356
229,452,316,482,361
230,490,315,522,361
231,529,315,564,358
232,572,316,609,361
233,615,315,641,358
234,647,313,682,359
235,685,314,716,357
236,725,312,756,357
237,768,315,805,359
238,810,315,847,359
239,851,314,884,361
240,888,313,924,360
241,931,314,966,363
242,977,317,1018,363
243,1026,317,1064,361
244,1066,316,1112,364
245,22,416,51,466
246,63,416,89,472
247,98,415,134,466
248,138,414,172,468
249,176,417,209,470
250,217,415,255,471
251,261,412,298,472
252,304,413,344,470
253,368,417,399,469
254,408,417,446,469
255,454,420,489,473
256,495,418,533,476
257,543,418,581,477
258,583,413,624,476
259,633,413,668,473
260,677,417,711,479
261,718,414,757,475
262,764,418,808,476
263,813,416,850,481
264,855,418,895,483
265,901,419,944,481
266,954,416,996,484
267,998,419,1047,487
268,1052,418,1099,491
269,1106,417,1153,493
270,7,486,44,562
271,55,494,95,554
272,105,491,144,557
273,153,492,192,559
274,200,495,243,556
275,257,497,299,556
276,306,494,348,556
277,356,497,403,556
278,416,499,462,556
279,469,497,515,553
280,522,497,566,557
281,577,500,620,562
282,629,498,674,562
283,683,501,735,564
284,738,497,786,566
285,793,499,844,564
286,850,499,902,565
287,907,499,954,561
288,967,494,1022,558
289,1031,499,1079,567
290,1099,511,1202,548
291,1107,553,1221,590
292,1124,595,1224,641
293,1150,658,1237,704
295,12,641,63,709
296,73,644,119,703
297,122,639,175,707
299,182,643,226,711
300,239,641,289,712
301,296,645,344,716
302,353,643,411,713
303,425,645,470,716
304,363,579,396,616
305,481,636,533,713
307,539,642,594,719
308,606,650,661,715
309,669,647,724,717
310,735,644,792,717
311,798,646,863,719
312,869,653,921,719
313,926,647,988,719
314,995,641,1056,718
315,1066,639,1130,707
